rank,name,rating,votes,year,country,genre
229,大红灯笼高高挂,8.8,336903,1991,"['中国大陆', '中国香港', '中国台湾']",['剧情']
230,彗星来的那一夜,8.6,647269,2013,"['美国', '英国']","['科幻', '悬疑', '惊悚']"
231,海边的曼彻斯特,8.6,615304,2016,['美国'],"['剧情', '家庭']"
232,哈利·波特与凤凰社,8.5,656524,2007,"['英国', '美国']","['奇幻', '冒险']"
233,黑客帝国2：重装上阵,8.7,437095,2003,['美国'],"['动作', '科幻']"
234,火星救援,8.5,796783,2015,"['英国', '美国', '匈牙利', '约旦']","['剧情', '科幻', '冒险']"
235,萤火虫之墓,8.7,426909,1988,['日本'],"['动画', '剧情', '战争']"
236,奇迹男孩,8.6,583431,2017,"['美国', '中国香港']","['剧情', '儿童', '家庭']"
237,战争之王,8.7,399123,2005,"['美国', '德国']","['剧情', '犯罪']"
238,步履不停,8.8,307488,2008,['日本'],"['剧情', '家庭']"
239,千年女优,8.8,301336,2001,['日本'],"['动画', '剧情', '爱情']"
240,血钻,8.7,407638,2006,"['美国', '德国', '英国']","['剧情', '惊悚', '冒险']"
241,谍影重重2,8.7,381615,2004,"['美国', '德国']","['动作', '悬疑', '惊悚']"
242,蜘蛛侠：平行宇宙,8.6,726476,2018,['美国'],"['动作', '科幻', '动画', '冒险']"
243,魂断蓝桥,8.8,299342,1940,['美国'],"['剧情', '爱情', '战争']"
244,房间,8.8,389505,2015,"['爱尔兰', '加拿大', '英国', '美国']","['剧情', '家庭']"
245,弱点,8.7,341664,2009,['美国'],"['剧情', '家庭', '传记', '运动']"
246,谍影重重,8.6,464786,2002,"['美国', '德国', '捷克']","['动作', '悬疑', '惊悚']"
247,隐藏人物,8.9,251308,2016,['美国'],"['剧情', '传记', '历史']"
248,冰雪奇缘,8.5,766053,2013,['美国'],"['喜剧', '动画', '奇幻', '歌舞']"
249,朗读者,8.6,476901,2008,"['美国', '德国']","['剧情', '爱情']"
250,哪吒之魔童降世,8.4,1992014,2019,['中国大陆'],"['剧情', '喜剧', '动画', '奇幻']"
